"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
185;50-59;381;2021-04-06
187;50-59;168;2021-04-06
190;50-59;302;2021-04-06
201;50-59;174;2021-04-06
210;50-59;342;2021-04-06
217;50-59;586;2021-04-06
219;50-59;394;2021-04-06
223;50-59;214;2021-04-06
230;50-59;485;2021-04-06
240;50-59;410;2021-04-06
250;50-59;305;2021-04-06
253;50-59;464;2021-04-06
259;50-59;546;2021-04-06
260;50-59;176;2021-04-06
265;50-59;576;2021-04-06
269;50-59;206;2021-04-06
270;50-59;300;2021-04-06
306;50-59;148;2021-04-06
316;50-59;467;2021-04-06
320;50-59;257;2021-04-06
326;50-59;247;2021-04-06
329;50-59;243;2021-04-06
330;50-59;558;2021-04-06
336;50-59;142;2021-04-06
340;50-59;146;2021-04-06
350;50-59;203;2021-04-06
360;50-59;171;2021-04-06
370;50-59;522;2021-04-06
376;50-59;287;2021-04-06
390;50-59;205;2021-04-06
400;50-59;96;2021-04-06
410;50-59;158;2021-04-06
420;50-59;123;2021-04-06
430;50-59;188;2021-04-06
440;50-59;110;2021-04-06
450;50-59;150;2021-04-06
461;50-59;940;2021-04-06
479;50-59;218;2021-04-06
480;50-59;107;2021-04-06
482;50-59;28;2021-04-06
492;50-59;11;2021-04-06
510;50-59;163;2021-04-06
530;50-59;98;2021-04-06
540;50-59;269;2021-04-06
550;50-59;115;2021-04-06
561;50-59;526;2021-04-06
563;50-59;1;2021-04-06
573;50-59;189;2021-04-06
575;50-59;158;2021-04-06
580;50-59;233;2021-04-06
607;50-59;203;2021-04-06
615;50-59;400;2021-04-06
621;50-59;414;2021-04-06
630;50-59;508;2021-04-06
657;50-59;348;2021-04-06
661;50-59;308;2021-04-06
665;50-59;89;2021-04-06
671;50-59;125;2021-04-06
706;50-59;134;2021-04-06
707;50-59;127;2021-04-06
710;50-59;199;2021-04-06
727;50-59;105;2021-04-06
730;50-59;469;2021-04-06
740;50-59;344;2021-04-06
741;50-59;15;2021-04-06
746;50-59;301;2021-04-06
751;50-59;1734;2021-04-06
756;50-59;165;2021-04-06
760;50-59;185;2021-04-06
766;50-59;201;2021-04-06
773;50-59;107;2021-04-06
779;50-59;136;2021-04-06
787;50-59;175;2021-04-06
791;50-59;321;2021-04-06
810;50-59;173;2021-04-06
813;50-59;287;2021-04-06
820;50-59;119;2021-04-06
825;50-59;6;2021-04-06
840;50-59;103;2021-04-06
846;50-59;160;2021-04-06
849;50-59;179;2021-04-06
851;50-59;776;2021-04-06
860;50-59;272;2021-04-06
;60-69;100;2021-04-06
011;60-69;18;2021-04-06
019;60-69;1;2021-04-06
101;60-69;2201;2021-04-06
147;60-69;360;2021-04-06
151;60-69;232;2021-04-06
153;60-69;255;2021-04-06
155;60-69;74;2021-04-06
157;60-69;360;2021-04-06
159;60-69;357;2021-04-06
161;60-69;115;2021-04-06
163;60-69;183;2021-04-06
165;60-69;166;2021-04-06
167;60-69;289;2021-04-06
169;60-69;270;2021-04-06
173;60-69;207;2021-04-06
175;60-69;237;2021-04-06
183;60-69;145;2021-04-06
185;60-69;217;2021-04-06
187;60-69;78;2021-04-06
190;60-69;142;2021-04-06
201;60-69;79;2021-04-06
210;60-69;196;2021-04-06
217;60-69;345;2021-04-06
219;60-69;218;2021-04-06
223;60-69;115;2021-04-06
230;60-69;229;2021-04-06
240;60-69;174;2021-04-06
250;60-69;150;2021-04-06
