ALDER;KØN;TID;INDHOLD
46;2;2012;42939
46;2;2013;44261
46;2;2014;41353
46;2;2015;38619
46;2;2016;37480
46;2;2017;37983
46;2;2018;39442
46;2;2019;40455
46;2;2020;38742
47;1;2010;39857
47;1;2011;42021
47;1;2012;43053
47;1;2013;43814
47;1;2014;45307
47;1;2015;42190
47;1;2016;39766
47;1;2017;38325
47;1;2018;38291
47;1;2019;40196
47;1;2020;40308
47;2;2010;38822
47;2;2011;41113
47;2;2012;41703
47;2;2013;42912
47;2;2014;44259
47;2;2015;41402
47;2;2016;38691
47;2;2017;37470
47;2;2018;38038
47;2;2019;39491
47;2;2020;40482
48;1;2010;38626
48;1;2011;39724
48;1;2012;41898
48;1;2013;42961
48;1;2014;43704
48;1;2015;45251
48;1;2016;42165
48;1;2017;39766
48;1;2018;38293
48;1;2019;38211
48;1;2020;40095
48;2;2010;37830
48;2;2011;38847
48;2;2012;41058
48;2;2013;41671
48;2;2014;42905
48;2;2015;44269
48;2;2016;41450
48;2;2017;38726
48;2;2018;37502
48;2;2019;38048
48;2;2020;39494
49;1;2010;38600
49;1;2011;38480
49;1;2012;39559
49;1;2013;41768
49;1;2014;42827
49;1;2015;43687
49;1;2016;45296
49;1;2017;42144
49;1;2018;39705
49;1;2019;38225
49;1;2020;38101
49;2;2010;37763
49;2;2011;37784
49;2;2012;38761
49;2;2013;40980
49;2;2014;41653
49;2;2015;42868
49;2;2016;44273
49;2;2017;41452
49;2;2018;38736
49;2;2019;37540
49;2;2020;38040
50;1;2010;36822
50;1;2011;38441
50;1;2012;38316
50;1;2013;39383
50;1;2014;41615
50;1;2015;42752
50;1;2016;43661
50;1;2017;45246
50;1;2018;42104
50;1;2019;39650
50;1;2020;38111
50;2;2010;36329
50;2;2011;37690
50;2;2012;37693
50;2;2013;38708
50;2;2014;40964
50;2;2015;41622
50;2;2016;42863
50;2;2017;44255
50;2;2018;41432
50;2;2019;38755
50;2;2020;37517
51;1;2010;36885
51;1;2011;36653
51;1;2012;38266
51;1;2013;38174
51;1;2014;39247
51;1;2015;41509
51;1;2016;42697
51;1;2017;43561
51;1;2018;45140
